id,Precio_cat
4820,5
4821,2
4822,1
4823,3
4824,1
4825,1
4826,4
4827,5
4828,4
4829,4
4830,3
4831,4
4832,1
4833,3
4834,4
4835,3
4836,1
4837,5
4838,5
4839,1
4840,1
4841,1
4842,1
4843,3
4844,2
4845,3
4846,5
4847,3
4848,4
4849,3
4850,3
4851,3
4852,4
4853,5
4854,2
4855,3
4856,4
4857,1
4858,3
4859,1
4860,3
4861,3
4862,5
4863,2
4864,2
4865,3
4866,4
4867,3
4868,3
4869,5
4870,2
4871,4
4872,5
4873,1
4874,2
4875,2
4876,5
4877,1
4878,2
4879,1
4880,5
4881,2
4882,4
4883,3
4884,1
4885,2
4886,4
4887,1
4888,5
4889,3
4890,4
4891,5
4892,3
4893,3
4894,3
4895,5
4896,3
4897,4
4898,4
4899,4
4900,2
4901,3
4902,2
4903,3
4904,3
4905,2
4906,5
4907,2
4908,3
4909,2
4910,3
4911,4
4912,3
4913,1
4914,4
4915,1
4916,5
4917,5
4918,2
4919,1
4920,3
4921,3
4922,3
4923,5
4924,3
4925,5
4926,1
4927,3
4928,3
4929,1
4930,5
4931,1
4932,1
4933,1
4934,5
4935,5
4936,5
4937,3
4938,1
4939,3
4940,2
4941,3
4942,5
4943,5
4944,5
4945,3
4946,1
4947,1
4948,1
4949,5
4950,2
4951,2
4952,5
4953,5
4954,2
4955,1
4956,1
4957,1
4958,3
4959,2
4960,3
4961,2
4962,1
4963,5
4964,3
4965,1
4966,5
4967,2
4968,4
4969,3
4970,5
4971,5
4972,5
4973,3
4974,5
4975,5
4976,5
4977,5
4978,5
4979,1
4980,4
4981,2
4982,1
4983,3
4984,3
4985,4
4986,3
4987,2
4988,2
4989,1
4990,5
4991,1
4992,1
4993,5
4994,2
4995,3
4996,5
4997,5
4998,1
4999,2
5000,4
5001,5
5002,4
5003,5
5004,4
5005,3
5006,5
5007,3
5008,5
5009,5
5010,3
5011,4
5012,4
5013,3
5014,3
5015,5
5016,4
5017,2
5018,5
5019,5
5020,4
5021,1
5022,5
5023,1
5024,1
5025,3
5026,4
5027,1
5028,3
5029,1
5030,4
5031,5
5032,1
5033,5
5034,4
5035,3
5036,3
5037,5
5038,2
5039,5
5040,3
5041,4
5042,3
5043,2
5044,1
5045,3
5046,4
5047,3
5048,1
5049,3
5050,3
5051,4
5052,5
5053,3
5054,3
5055,2
5056,5
5057,3
5058,5
5059,4
5060,4
5061,3
5062,1
5063,3
5064,1
5065,2
5066,3
5067,4
5068,5
5069,3
5070,3
5071,3
5072,5
5073,3
5074,5
5075,4
5076,3
5077,3
5078,5
5079,3
5080,1
5081,5
5082,3
5083,1
5084,2
5085,2
5086,5
5087,3
5088,3
5089,2
5090,1
5091,1
5092,3
5093,1
5094,3
5095,3
5096,4
5097,2
5098,5
5099,2
5100,5
5101,4
5102,2
5103,4
5104,3
5105,3
5106,3
5107,2
5108,5
5109,2
5110,2
5111,1
5112,3
5113,3
5114,2
5115,4
5116,4
5117,4
5118,5
5119,3
5120,1
5121,4
5122,3
5123,2
5124,3
5125,3
5126,2
5127,3
5128,3
5129,4
5130,3
5131,5
5132,5
5133,4
5134,2
5135,3
5136,2
5137,3
5138,1
5139,3
5140,2
5141,4
5142,2
5143,3
5144,3
5145,3
5146,3
5147,1
5148,4
5149,5
5150,3
5151,5
5152,2
5153,5
5154,4
5155,1
5156,3
5157,3
5158,3
5159,2
5160,3
5161,5
5162,3
5163,1
5164,3
5165,2
5166,2
5167,1
5168,3
5169,4
5170,4
5171,5
5172,2
5173,5
5174,3
5175,5
5176,1
5177,4
5178,3
5179,5
5180,5
5181,3
5182,1
5183,2
5184,3
5185,3
5186,4
5187,3
5188,5
5189,2
5190,5
5191,2
5192,4
5193,3
5194,4
5195,3
5196,3
5197,2
5198,5
5199,3
5200,3
5201,1
5202,3
5203,5
5204,5
5205,5
5206,1
5207,3
5208,4
5209,1
5210,4
5211,1
5212,5
5213,2
5214,5
5215,5
5216,3
5217,3
5218,3
5219,2
5220,5
5221,5
5222,2
5223,3
5224,3
5225,2
5226,5
5227,1
5228,2
5229,5
5230,5
5231,5
5232,3
5233,2
5234,3
5235,1
5236,1
5237,1
5238,1
5239,3
5240,1
5241,3
5242,1
5243,5
5244,5
5245,2
5246,2
5247,5
5248,3
5249,3
5250,3
5251,4
5252,1
5253,3
5254,5
5255,4
5256,2
5257,4
5258,3
5259,3
5260,5
5261,5
5262,3
5263,2
5264,4
5265,1
5266,2
5267,3
5268,3
5269,3
5270,4
5271,4
5272,3
5273,2
5274,5
5275,4
5276,5
5277,4
5278,1
5279,3
5280,4
5281,5
5282,5
5283,3
5284,5
5285,5
5286,1
5287,5
5288,3
5289,5
5290,1
5291,5
5292,3
5293,2
5294,3
5295,4
5296,2
5297,2
5298,3
5299,2
5300,2
5301,4
5302,3
5303,4
5304,5
5305,3
5306,5
5307,3
5308,1
5309,4
5310,2
5311,4
5312,2
5313,1
5314,5
5315,5
5316,4
5317,5
5318,3
5319,1
5320,3
5321,1
5322,5
5323,1
5324,2
5325,5
5326,1
5327,3
5328,2
5329,1
5330,1
5331,3
5332,1
5333,2
5334,2
5335,1
5336,3
5337,2
5338,4
5339,1
5340,4
5341,5
5342,4
5343,5
5344,1
5345,1
5346,3
5347,5
5348,5
5349,4
5350,4
5351,2
5352,3
5353,4
5354,1
5355,4
5356,1
5357,5
5358,3
5359,5
5360,3
5361,5
5362,5
5363,4
5364,2
5365,3
5366,5
5367,3
5368,2
5369,3
5370,5
5371,3
5372,2
5373,1
5374,5
5375,3
5376,5
5377,4
5378,2
5379,3
5380,4
5381,3
5382,1
5383,3
5384,3
5385,3
5386,2
5387,3
5388,2
5389,2
5390,2
5391,3
5392,5
5393,5
5394,5
5395,3
5396,5
5397,5
5398,2
5399,5
5400,2
5401,1
5402,3
5403,3
5404,4
5405,5
5406,1
5407,4
5408,3
5409,3
5410,3
5411,3
5412,3
5413,2
5414,2
5415,1
5416,3
5417,3
5418,1
5419,4
5420,1
5421,5
5422,5
5423,4
5424,3
5425,1
5426,4
5427,1
5428,3
5429,1
5430,1
5431,3
5432,5
5433,5
5434,4
5435,3
5436,3
5437,3
5438,4
5439,4
5440,4
5441,3
5442,4
5443,3
5444,3
5445,2
5446,5
5447,3
5448,3
5449,2
5450,5
5451,2
5452,1
5453,5
5454,1
5455,5
5456,2
5457,5
5458,1
5459,4
5460,4
5461,5
5462,3
5463,3
5464,5
5465,4
5466,2
5467,5
5468,3
5469,1
5470,3
5471,3
5472,2
5473,2
5474,1
5475,4
5476,4
5477,3
5478,5
5479,3
5480,5
5481,3
5482,1
5483,4
5484,4
5485,2
5486,5
5487,1
5488,5
5489,4
5490,1
5491,2
5492,3
5493,1
5494,1
5495,5
5496,3
5497,5
5498,3
5499,4
5500,3
5501,3
5502,5
5503,5
5504,3
5505,3
5506,3
5507,3
5508,5
5509,1
5510,2
5511,5
5512,2
5513,1
5514,4
5515,3
5516,3
5517,3
5518,2
5519,5
5520,3
5521,3
5522,3
5523,3
5524,1
5525,3
5526,5
5527,2
5528,1
5529,1
5530,5
5531,4
5532,1
5533,5
5534,5
5535,1
5536,4
5537,4
5538,1
5539,2
5540,3
5541,3
5542,3
5543,2
5544,3
5545,3
5546,1
5547,1
5548,1
5549,1
5550,5
5551,4
5552,2
5553,2
5554,1
5555,3
5556,2
5557,5
5558,3
5559,3
5560,1
5561,4
5562,4
5563,3
5564,3
5565,2
5566,1
5567,4
5568,3
5569,4
5570,3
5571,3
5572,2
5573,3
5574,4
5575,1
5576,1
5577,3
5578,4
5579,1
5580,2
5581,3
5582,2
5583,5
5584,5
5585,5
5586,1
5587,3
5588,2
5589,3
5590,5
5591,3
5592,4
5593,1
5594,1
5595,1
5596,5
5597,2
5598,4
5599,5
5600,5
5601,5
5602,5
5603,3
5604,3
5605,3
5606,1
5607,3
5608,3
5609,2
5610,2
5611,2
5612,3
5613,4
5614,3
5615,3
5616,2
5617,2
5618,3
5619,2
5620,3
5621,1
5622,1
5623,2
5624,3
5625,3
5626,5
5627,1
5628,1
5629,5
5630,3
5631,3
5632,3
5633,4
5634,4
5635,3
5636,4
5637,4
5638,4
5639,2
5640,1
5641,5
5642,1
5643,1
5644,3
5645,1
5646,3
5647,1
5648,2
5649,1
5650,3
5651,4
5652,5
5653,4
5654,3
5655,1
5656,2
5657,2
5658,3
5659,1
5660,2
5661,5
5662,2
5663,5
5664,5
5665,3
5666,1
5667,3
5668,1
5669,5
5670,5
5671,2
5672,5
5673,4
5674,3
5675,3
5676,1
5677,3
5678,3
5679,3
5680,4
5681,3
5682,1
5683,3
5684,4
5685,3
5686,1
5687,4
5688,3
5689,1
5690,1
5691,3
5692,4
5693,1
5694,4
5695,2
5696,1
5697,3
5698,3
5699,3
5700,4
5701,3
5702,1
5703,3
5704,1
5705,5
5706,5
5707,1
5708,3
5709,5
5710,3
5711,1
5712,3
5713,4
5714,2
5715,1
5716,4
5717,5
5718,4
5719,3
5720,1
5721,3
5722,5
5723,2
5724,1
5725,3
5726,3
5727,2
5728,3
5729,2
5730,3
5731,4
5732,3
5733,5
5734,1
5735,2
5736,1
5737,1
5738,2
5739,5
5740,1
5741,4
5742,3
5743,3
5744,2
5745,4
5746,1
5747,5
5748,3
5749,2
5750,4
5751,2
5752,1
5753,1
5754,5
5755,3
5756,3
5757,1
5758,2
5759,4
5760,4
5761,4
5762,5
5763,2
5764,2
5765,2
5766,4
5767,3
5768,4
5769,5
5770,4
5771,4
5772,2
5773,4
5774,4
5775,5
5776,1
5777,5
5778,3
5779,3
5780,1
5781,5
5782,3
5783,5
5784,3
5785,3
5786,1
5787,5
5788,3
5789,3
5790,1
5791,4
5792,5
5793,5
5794,4
5795,1
5796,1
5797,3
5798,5
5799,3
5800,5
5801,3
5802,2
5803,2
5804,1
5805,4
5806,5
5807,5
5808,1
5809,5
5810,3
5811,5
5812,1
5813,2
5814,5
5815,2
5816,1
5817,3
5818,4
5819,1
5820,4
5821,1
5822,3
5823,1
5824,3
5825,1
5826,3
5827,2
5828,1
5829,5
5830,3
5831,3
5832,3
5833,3
5834,3
5835,2
5836,5
5837,4
5838,2
5839,5
5840,4
5841,5
5842,3
5843,4
5844,3
5845,3
5846,2
5847,3
5848,1
5849,3
5850,2
5851,3
5852,2
5853,2
5854,2
5855,1
5856,2
5857,4
5858,5
5859,2
5860,1
5861,2
5862,3
5863,3
5864,5
5865,5
5866,4
5867,4
5868,2
5869,3
5870,4
5871,3
5872,2
5873,1
5874,1
5875,1
5876,3
5877,5
5878,5
5879,2
5880,3
5881,4
5882,1
5883,4
5884,3
5885,5
5886,1
5887,5
5888,1
5889,2
5890,5
5891,1
5892,2
5893,5
5894,5
5895,4
5896,4
5897,3
5898,2
5899,3
5900,3
5901,3
5902,1
5903,4
5904,5
5905,5
5906,3
5907,3
5908,2
5909,4
5910,2
5911,2
5912,1
5913,1
5914,4
5915,3
5916,5
5917,3
5918,4
5919,1
5920,3
5921,3
5922,2
5923,1
5924,2
5925,5
5926,2
5927,3
5928,4
5929,3
5930,5
5931,5
5932,5
5933,3
5934,5
5935,5
5936,3
5937,1
5938,5
5939,1
5940,3
5941,5
5942,3
5943,2
5944,3
5945,3
5946,3
5947,1
5948,1
5949,4
5950,3
5951,5
5952,5
5953,2
5954,5
5955,2
5956,3
5957,3
5958,3
5959,5
5960,1
5961,2
5962,2
5963,5
5964,4
5965,1
5966,2
5967,2
5968,2
5969,1
5970,4
5971,5
5972,1
5973,3
5974,2
5975,3
5976,4
5977,5
5978,5
